2021:01:29 00:05:22.820 INFO  --- [main] n.b.a.b.AgensBrowserBundleApplication : Starting AgensBrowserBundleApplication on 8MJ3YWM186Z7QBR with PID 18940 (C:\Users\Administrator\Desktop\20210117\agens_graph\AgensGraph\target\classes started by Administrator in C:\Users\Administrator\Desktop\20210117\agens_graph\AgensGraph) 
2021:01:29 00:05:22.829 INFO  --- [main] n.b.a.b.AgensBrowserBundleApplication : No active profile set, falling back to default profiles: default 
2021:01:29 00:05:22.927 INFO  --- [main] o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext : Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@139982de: startup date [Fri Jan 29 00:05:22 CST 2021]; root of context hierarchy 
2021:01:29 00:05:24.798 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'persistenceInnerConfig' of type [net.bitnine.agensbrowser.bundle.config.dao.PersistenceInnerConfig$$EnhancerBySpringCGLIB$$5ec06856] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021:01:29 00:05:24.875 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'agensAsyncExecutor' of type [net.bitnine.agensbrowser.bundle.config.task.AgensAsyncExecutor$$EnhancerBySpringCGLIB$$3a965c41] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021:01:29 00:05:24.886 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService  
2021:01:29 00:05:24.911 INFO  --- [main] o.s.s.c.ThreadPoolTaskExecutor : Initializing ExecutorService  'getAsyncExecutor' 
2021:01:29 00:05:24.911 INFO  --- [main] o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker : Bean 'getAsyncExecutor' of type [org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying) 
2021:01:29 00:05:25.459 INFO  --- [main] org.xnio : XNIO version 3.3.6.Final 
2021:01:29 00:05:25.482 INFO  --- [main] org.xnio.nio : XNIO NIO Implementation Version 3.3.6.Final 
2021:01:29 00:05:25.518 WARN  --- [main] io.undertow.websockets.jsr : UT026009: XNIO worker was not set on WebSocketDeploymentInfo, the default worker will be used 
2021:01:29 00:05:25.519 WARN  --- [main] io.undertow.websockets.jsr : UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used 
2021:01:29 00:05:25.555 INFO  --- [main] io.undertow.servlet : Initializing Spring embedded WebApplicationContext 
2021:01:29 00:05:25.556 INFO  --- [main] o.s.web.context.ContextLoader : Root WebApplicationContext: initialization completed in 2629 ms 
2021:01:29 00:05:25.680 INFO  --- [main] o.s.b.w.s.ServletRegistrationBean : Mapping servlet: 'dispatcherServlet' to [/] 
2021:01:29 00:05:25.687 INFO  --- [main] o.s.b.w.s.FilterRegistrationBean : Mapping filter: 'characterEncodingFilter' to: [/*] 
2021:01:29 00:05:25.739 INFO  --- [main] o.s.j.d.DriverManagerDataSource : Loaded JDBC driver: org.h2.Driver 
2021:01:29 00:05:25.908 INFO  --- [main] o.s.j.datasource.init.ScriptUtils : Executing SQL script from class path resource [inner-h2.sql] 
2021:01:29 00:05:25.973 INFO  --- [main] o.s.j.datasource.init.ScriptUtils : Executed SQL script from class path resource [inner-h2.sql] in 65 ms. 
2021:01:29 00:05:26.083 INFO  --- [main] o.s.o.j.LocalContainerEntityManagerFactoryBean : Building JPA container EntityManagerFactory for persistence unit 'default' 
2021:01:29 00:05:26.101 INFO  --- [main] o.h.jpa.internal.util.LogHelper : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...] 
2021:01:29 00:05:26.216 INFO  --- [main] org.hibernate.Version : HHH000412: Hibernate Core {5.0.12.Final} 
2021:01:29 00:05:26.219 INFO  --- [main] org.hibernate.cfg.Environment : HHH000206: hibernate.properties not found 
2021:01:29 00:05:26.221 INFO  --- [main] org.hibernate.cfg.Environment : HHH000021: Bytecode provider name : javassist 
